"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Text Description","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Text Description","Region 6 Latitude","Region 6 Longitude"
"Australia","Victoria",,"-36,879621","144,667969","Port Phillip","-37,814124","144,942627","Macedon Ranges","-37,328673","144,525146",,,,,,,,,,,
"Australia","Victoria",,"-36,879621","144,667969","Port Phillip","-37,814124","144,942627","Mornington Peninsula","-38,382137","145,02069",,,,,,,,,,,
"Australia","Victoria",,"-36,879621","144,667969","Port Phillip","-37,814124","144,942627","Sunbury","-37,579413","144,7229",,,,,,,,,,,
"Australia","Victoria",,"-36,879621","144,667969","Port Phillip","-37,814124","144,942627","Yarra Valley","-37,647233","145,416842",,,,,,,,,,,
"Australia","Victoria",,"-36,879621","144,667969","Western Victoria","-37,282795","142,910156","Grampians","-37,292082","142,533875","Great Western","-37,160317","142,855225",,,,,,,,
"Australia","Victoria",,"-36,879621","144,667969","Western Victoria","-37,282795","142,910156","Henty","-37,753344","142,009277",,,,,,,,,,,
"Australia","Victoria",,"-36,879621","144,667969","Western Victoria","-37,282795","142,910156","Pyrenees","-36,967449","143,308411",,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Blackwood Valley","-33,967895","116,133642",,,,,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Central Western Australia","-32,861132","116,71875",,,,,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Eastern Plains Inland and North of WA","-25,720735","122,080078",,,,,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Geographe","-33,491876","115,732384","Ferguson Valley","-33,437888","115,854778",,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Great Southern","-34,624168","117,658081","Albany","-34,977127","117,838669",,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Great Southern","-34,624168","117,658081","Denmark Western Australia","-34,948991","117,081299",,,,,,,,,,,
