"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Latitude","Region 6 Longitude"
,,,,,"Bosco Eliceo","44,69941","12,179718",,,,,,,,,,,,
,,,,,"Cagnina di Romagna","44,107371","11,981707",,,,,,,,,,,,
,,,,,"Colli Bolognesi","44,404477","11,250172",,,,,,,,,,,,
,,,,,,,,"Colli Bolognesi Colline Marconiane","44,417107","11,251373",,,,,,,,,
,,,,,,,,"Colli Bolognesi Colline di Oliveto","44,476421","11,313171",,,,,,,,,
,,,,,,,,"Colli Bolognesi Colline di Riosto","44,388654","11,34201",,,,,,,,,
,,,,,,,,"Colli Bolognesi Monte San Pietro","44,455349","11,12915",,,,,,,,,
,,,,,,,,"Colli Bolognesi Serravalle","44,435741","11,03302",,,,,,,,,
,,,,,,,,"Colli Bolognesi Terre di Montebudello","44,49124","11,084518",,,,,,,,,
,,,,,,,,"Colli Bolognesi Zola Predosa","44,489648","11,204681",,,,,,,,,
,,,,,"Colli Piacentini","44,921057","9,663849",,,,,,,,,,,,
,,,,,,,,"Colli Piacentini Monterosso Val d'Arda","44,873389","9,876709",,,,,,,,,
,,,,,,,,"Colli Piacentini Trebbianino Val Trebbia","44,871443","9,545746",,,,,,,,,
,,,,,,,,"Colli Piacentini Val Nure","44,961883","9,773712",,,,,,,,,
,,,,,,,,"Colli Piacentini Vigoleno","44,842725","9,96666",,,,,,,,,
,,,,,,,,"Gutturnio","44,922029","9,670715",,,,,,,,,
,,,,,"Colli d'Imola","44,359206","11,716919",,,,,,,,,,,,
,,,,,"Colli della Romagna Centrale","44,14871","12,019043",,,,,,,,,,,,
,,,,,"Colli di Faenza","44,280604","11,881714",,,,,,,,,,,,
,,,,,"Colli di Parma","44,731126","10,200806",,,,,,,,,,,,
,,,,,"Colli di Rimini","43,988862","12,562866",,,,,,,,,,,,
,,,,,"Colli di Scandiano e di Canossa","44,613934","10,684204",,,,,,,,,,,,
,,,,,"Emilia-Romagna DOCG","44,574817","11,315918",,,,,,,,,,,,
,,,,,,,,"Albana di Romagna","44,141812","12,061615",,,,,,,,,
,,,,,,,,"Colli Bolognesi Classico Pignoletto","44,470541","11,100311",,,,,,,,,
,,,,,"Lambrusco Grasparossa di Castelvetro",,,,,,,,,,,,,,
,,,,,"Lambrusco Salamino di Santa Croce","44,840291","11,000061",,,,,,,,,,,,
,,,,,"Lambrusco di Sorbara",,,,,,,,,,,,,,
,,,,,"Modena","44,715514","10,788574",,,,,,,,,,,,
,,,,,"Ortrugo","44,879228","9,549866",,,,,,,,,,,,
,,,,,"Pagadebit di Romagna","44,152652","12,024536",,,,,,,,,,,,
,,,,,,,,"Pagadebit di Romagna Bertinoro","44,168415","12,134399",,,,,,,,,
,,,,,"Reggiano","44,746733","10,629272",,,,,,,,,,,,
,,,,,"Reno","44,583621","11,271973",,,,,,,,,,,,
,,,,,"Romagna Albana Spumante","44,300264","11,782837",,,,,,,,,,,,
,,,,,"Sangiovese di Romagna","44,134913","12,052002",,,,,,,,,,,,
,,,,,"Trebbiano di Romagna","44,150681","12,041016",,,,,,,,,,,,
,"Friuli-Venezia Giulia",,"46,240652","13,227539",,,,,,,,,,,,,,,
,,,,,"Carso","45,759859","13,672485",,,,,,,,,,,,
,,,,,"Colli Orientali del Friuli","46,0999","13,430786",,,,,,,,,,,,
,,,,,,,,"Colli Orientali del Friuli Cialla","46,055126","13,477478",,,,,,,,,
,,,,,,,,"Colli Orientali del Friuli Rosazzo","46,014131","13,418427",,,,,,,,,
,,,,,,,,"Colli Orientali del Friuli Schioppettino Prepotto","46,054173","13,478851",,,,,,,,,
,,,,,"Collio Goriziano","45,95115","13,41156",,,,,,,,,,,,
,,,,,"Friuli Annia","45,811572","13,18634",,,,,,,,,,,,
,,,,,"Friuli Aquileia","45,777102","13,359375",,,,,,,,,,,,
,,,,,"Friuli DOCG","46,240652","13,227539",,,,,,,,,,,,
,,,,,,,,"Colli Orientali del Friuli Picolit","46,103709","13,430786",,,,,,,,,
,,,,,,,,,,,"Colli Orientali del Friuli Picolit Cialla","46,054173","13,478851",,,,,,
,,,,,,,,"Ramandolo",,,,,,,,,,,
,,,,,,,,"Rosazzo","45,994536","13,441377",,,,,,,,,
,,,,,"Friuli Grave","45,97406","12,974854",,,,,,,,,,,,
,,,,,"Friuli Isonzo","45,912944","13,491211",,,,,,,,,,,,
,,,,,"Friuli Latisana","45,79817","12,991333",,,,,,,,,,,,
,,,,,"Prosecco di Trieste","45,675482","13,782349",,,,,,,,,,,,
,"Lazio",,"42,114524","12,458496",,,,,,,,,,,,,,,
,,,,,"Aleatico di Gradoli","42,642041","11,873474",,,,,,,,,,,,
,,,,,"Aprilia","41,590648","12,651111",,,,,,,,,,,,
,,,,,"Atina","41,63392","13,754883",,,,,,,,,,,,
,,,,,"Bianco Capena","42,148133","12,568359",,,,,,,,,,,,
,,,,,"Castelli Romani","41,689322","12,86499",,,,,,,,,,,,
,,,,,"Cerveteri","42,037054","12,095947",,,,,,,,,,,,
,,,,,"Cesanese di Affile","41,895122","13,099823",,,,,,,,,,,,
,,,,,"Cesanese di Olevano Romano","41,882854","13,035278",,,,,,,,,,,,
,,,,,"Circeo","41,238577","13,079224",,,,,,,,,,,,
,,,,,"Colli Albani","41,73","12,7",,,,,,,,,,,,
,,,,,"Colli Etruschi Viterbesi",,,,,,,,,,,,,,
,,,,,"Colli Lanuvini","41,681118","12,718048",,,,,,,,,,,,
,,,,,"Colli della Sabina","42,204107","12,727661",,,,,,,,,,,,
,,,,,"Cori","41,660601","12,908936",,,,,,,,,,,,
,,,,,"Est Est Est di Montefiascone","42,585444","12,024536",,,,,,,,,,,,
,,,,,"Frascati","41,81022","12,675476",,,,,,,,,,,,
,,,,,"Genazzano","41,826259","12,971722",,,,,,,,,,,,
,,,,,"Lazio DOCG","42,114524","12,458496",,,,,,,,,,,,
,,,,,,,,"Cannellino di Frascati","41,789745","12,741394",,,,,,,,,
,,,,,,,,"Cesanese del Piglio","41,837851","13,146515",,,,,,,,,
,,,,,,,,"Frascati Superiore","41,783601","12,746887",,,,,,,,,
,,,,,"Marino","41,769804","12,658528",,,,,,,,,,,,
,,,,,"Montecompatri Colonna","41,838874","12,700195",,,,,,,,,,,,
,,,,,"Moscato di Terracina","41,294317","13,244019",,,,,,,,,,,,
,,,,,"Nettuno","41,457585","12,661075",,,,,,,,,,,,
,,,,,"Tarquinia","42,254665","11,758468",,,,,,,,,,,,
,,,,,"Velletri","41,691336","12,777975",,,,,,,,,,,,
,,,,,"Vignanello","42,383585","12,277145",,,,,,,,,,,,
,,,,,"Zagarolo","41,839913","12,829223",,,,,,,,,,,,
,"Liguria",,"44,574817","8,898926",,,,,,,,,,,,,,,
,,,,,"Cinque Terre","44,134913","9,702301",,,,,,,,,,,,
,,,,,,,,"Cinque Terre Costa da Posa","44,116307","9,72599",,,,,,,,,
,,,,,,,,"Cinque Terre Costa de Campu","44,109282","9,733372",,,,,,,,,
,,,,,,,,"Cinque Terre Costa de Sera","44,104845","9,7435",,,,,,,,,
,,,,,,,,"Cinque Terre Sciacchetra","44,134913","9,702301",,,,,,,,,
,,,,,"Colli di Luni","44,075747","9,920654",,,,,,,,,,,,
,,,,,"Colline di Levanto","44,188113","9,607544",,,,,,,,,,,,
,,,,,"Golfo del Tigullio","44,30567","9,206715",,,,,,,,,,,,
,,,,,"Ormeasco di Pornassio","44,075747","7,870331",,,,,,,,,,,,
,,,,,"Riviera Ligure di Ponente","44,166667","8,333333",,,,,,,,,,,,
,,,,,,,,"Riviera Ligure di Ponente Albenga","44,127028","8,195801",,,,,,,,,
,,,,,,,,"Riviera Ligure di Ponente Finalese","44,166667","8,333333",,,,,,,,,
,,,,,,,,"Riviera Ligure di Ponente Rivieri dei Fiori","44,07772","7,867584",,,,,,,,,
,,,,,"Rossese di Dolceacqua","43,859287","7,627258",,,,,,,,,,,,
,,,,,"Val Polcevera","44,486709","8,98819",,,,,,,,,,,,
,,,,,,,,"Val Polcevera Coronata","44,424463","8,877597",,,,,,,,,
,"Lombardy [Lombardia]",,"45,521744","9,18457",,,,,,,,,,,,,,,
,,,,,"Botticino","45,537056","10,302981",,,,,,,,,,,,
,,,,,"Capriano del Colle","45,454272","10,128892",,,,,,,,,,,,
,,,,,"Casteggio","45,011111","9,123444",,,,,,,,,,,,
,,,,,"Cellatica","45,582981","10,181259",,,,,,,,,,,,
