"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Latitude","Region 6 Longitude"
,,,,,,,,"Fleurie","46,202646","4,704895",,,,,,,,,
,,,,,,,,"Julienas","46,232103","4,711075",,,,,,,,,
,,,,,,,,"Morgon","46,162712","4,713135",,,,,,,,,
,,,,,,,,"Moulin-a-Vent","46,200745","4,720001",,,,,,,,,
,,,,,,,,"Regnie","46,142258","4,63829",,,,,,,,,
,,,,,,,,"Saint-Amour","46,449212","5,339355",,,,,,,,,
,,,,,"Beaujolais Nouveau","45,981695","4,702148",,,,,,,,,,,,
,,,,,"Beaujolais Superieur","45,985512","4,713135",,,,,,,,,,,,
,,,,,"Beaujolais Villages","46,05322","4,660263",,,,,,,,,,,,
,"Bordeaux [Bordelais]",,"44,837789","-0,57918",,,,,,,,,,,,,,,
,,,,,"Bordeaux Clairet","44,837789","-0,57918",,,,,,,,,,,,
,,,,,"Bordeaux Superieur","44,825529","-0,577609",,,,,,,,,,,,
,,,,,"Cotes de Bordeaux","44,836395","-0,576782",,,,,,,,,,,,
,,,,,,,,"Cotes de Bordeaux Blaye","45,126841","-0,662941",,,,,,,,,
,,,,,,,,,,,"Blaye","45,126841","-0,662941",,,,,,
,,,,,,,,,,,"Cotes de Blaye","45,130227","-0,660553",,,,,,
,,,,,,,,"Cotes de Bordeaux Cadillac","44,639346","-0,32135",,,,,,,,,
,,,,,,,,"Cotes de Bordeaux Castillon","44,853678","-0,046692",,,,,,,,,
,,,,,,,,,,,"Cotes de Castillon","44,854409","-0,044632",,,,,,
,,,,,,,,"Cotes de Bordeaux Francs","44,880688","-0,060425",,,,,,,,,
,,,,,,,,,,,"Cotes de Francs","44,898201","-0,031929",,,,,,
,,,,,,,,"Cotes de Bordeaux-Saint-Macaire","44,572861","-0,230713",,,,,,,,,
,,,,,,,,"Cotes de Bourg","45,043448","-0,558929",,,,,,,,,
,,,,,,,,"Premieres Cotes de Bordeaux","44,695993","-0,343323",,,,,,,,,
,,,,,"Cremant de Bordeaux","44,837789","-0,57918",,,,,,,,,,,,
,,,,,"Entre-Deux-Mers","44,742832","-0,307617",,,,,,,,,,,,
,,,,,,,,"Cadillac","44,637391","-0,321007",,,,,,,,,
,,,,,,,,"Graves de Vayres","44,897714","-0,33371",,,,,,,,,
,,,,,,,,"Haut-Benauge","44,689403","-0,247536",,,,,,,,,
,,,,,,,,"Loupiac","44,628042","-0,298356",,,,,,,,,
,,,,,,,,"Sainte-Croix-du-Mont","44,594286","-0,284518",,,,,,,,,
,,,,,,,,"Sainte-Foy-Bordeaux","44,779398","0,175781",,,,,,,,,
,,,,,"Graves","44,664746","-0,543823",,,,,,,,,,,,
,,,,,,,,"Cerons","44,631404","-0,337996",,,,,,,,,
,,,,,,,,"Graves Superieures","44,664746","-0,514984",,,,,,,,,
,,,,,,,,"Pessac-Leognan","44,756486","-0,609055",,,,,,,,,
,,,,,,,,"Sauternes","44,531032","-0,343268",,,,,,,,,
,,,,,,,,,,,"Barsac","44,607906","-0,317094",,,,,,
,,,,,"Libournais","44,92057","-0,257492",,,,,,,,,,,,
,,,,,,,,"Canon-Fronsac","44,924946","-0,279465",,,,,,,,,
,,,,,,,,"Fronsac","44,924318","-0,271263",,,,,,,,,
,,,,,,,,"Lalande-de-Pomerol","44,955821","-0,210858",,,,,,,,,
,,,,,,,,"Neac","44,936199","-0,183076",,,,,,,,,
,,,,,,,,"Pomerol","44,928578","-0,201489",,,,,,,,,
,,,,,,,,"Saint-Emilion","44,895039","-0,156898",,,,,,,,,
,,,,,,,,,,,"Lussac-Saint-Emilion","44,949249","-0,098877",,,,,,
,,,,,,,,,,,"Montagne-Saint-Emilion","44,930692","-0,144163",,,,,,
,,,,,,,,,,,"Puisseguin-Saint-Emilion","44,926648","-0,075531",,,,,,
,,,,,,,,,,,"Saint-Emilion Grand Cru","44,893336","-0,157242",,,,,,
,,,,,,,,,,,"Saint-Georges-Saint-Emilion","44,905739","-0,147629",,,,,,
,,,,,"Medoc","45,197522","-0,823975",,,,,,,,,,,,
,,,,,,,,"Haut-Medoc","45,040537","-0,736084",,,,,,,,,
,,,,,,,,,,,"Listrac-Medoc","45,073918","-0,793207",,,,,,
,,,,,,,,,,,"Margaux","45,042035","-0,677519",,,,,,
,,,,,,,,,,,"Moulis-en-Medoc","45,060237","-0,767542",,,,,,
,,,,,,,,,,,"Pauillac","45,199585","-0,746212",,,,,,
,,,,,,,,,,,"Saint-Estephe","45,263573","-0,765728",,,,,,
,,,,,,,,,,,"Saint-Julien","45,166063","-0,741577",,,,,,
,"Burgundy [Bourgogne]",,"47,318345","5,037231",,,,,,,,,,,,,,,
,,,,,"Bourgogne","47,085085","4,833984",,,,,,,,,,,,
,,,,,,,,"Bourgogne Aligote","47,085085","4,833984",,,,,,,,,
,,,,,,,,"Bourgogne Blanc","47,085085","4,833984",,,,,,,,,
,,,,,,,,"Bourgogne Chitry","47,762686","3,702397",,,,,,,,,
,,,,,,,,"Bourgogne Cote Chalonnaise","46,785016","4,844971",,,,,,,,,
,,,,,,,,"Bourgogne Cote d'Auxerre","47,794707","3,570557",,,,,,,,,
,,,,,,,,"Bourgogne Cote de Saint-Jacques","47,985224","3,383437",,,,,,,,,
,,,,,,,,"Bourgogne Cote du Couchois","46,880846","4,584045",,,,,,,,,
,,,,,,,,"Bourgogne Coulanges-la-Vineuse","47,699813","3,580854",,,,,,,,,
,,,,,,,,"Bourgogne Epineuil","47,874593","3,980885",,,,,,,,,
,,,,,,,,"Bourgogne Grand Ordinaire","47,085085","4,833984",,,,,,,,,
,,,,,,,,"Bourgogne Hautes Cotes de Beaune","47,032695","4,761887",,,,,,,,,
,,,,,,,,"Bourgogne Hautes Cotes de Nuits","47,142095","4,878616",,,,,,,,,
,,,,,,,,"Bourgogne La Chapelle Notre-Dame","47,070356","4,883766",,,,,,,,,
,,,,,,,,"Bourgogne Le Chapitre","47,296433","5,000067",,,,,,,,,
,,,,,,,,"Bourgogne Montrecul","47,302516","5,027618",,,,,,,,,
,,,,,,,,"Bourgogne Mousseux","47,085085","4,963546",,,,,,,,,
,,,,,,,,"Bourgogne Passe-tout-grains","47,085085","4,833984",,,,,,,,,
,,,,,,,,"Bourgogne Rose-Clairet","47,085085","4,833984",,,,,,,,,
,,,,,,,,"Bourgogne Rouge","47,085085","4,833984",,,,,,,,,
,,,,,,,,"Bourgogne Tonnerre","47,856724","3,973527",,,,,,,,,
,,,,,,,,"Bourgogne Vezelay","47,465674","3,746143",,,,,,,,,
,,,,,,,,"Cremant de Bourgogne","47,085085","4,833984",,,,,,,,,
,,,,,,,,"Eau-de-Vie de Marc de Bourgogne","47,318345","5,037231",,,,,,,,,
,,,,,,,,"Eau-de-Vie de Vin de Bourgogne","47,318345","5,037231",,,,,,,,,
,,,,,"Chablis","47,83344","3,798523",,,,,,,,,,,,
,,,,,,,,"Chablis Grand Cru","47,815269","3,800451",,,,,,,,,
,,,,,,,,,,,"Chablis Grand Cru Blanchot","47,818803","3,81526",,,,,,
,,,,,,,,,,,"Chablis Grand Cru Bougros","47,824681","3,792686",,,,,,
,,,,,,,,,,,"Chablis Grand Cru Grenouilles","47,823068","3,801785",,,,,,
,,,,,,,,,,,"Chablis Grand Cru La Moutonne","47,824566","3,79848",,,,,,
,,,,,,,,,,,"Chablis Grand Cru Les Clos","47,818515","3,80908",,,,,,
,,,,,,,,,,,"Chablis Grand Cru Preuses","47,826122","3,796291",,,,,,
,,,,,,,,,,,"Chablis Grand Cru Valmur","47,823125","3,806591",,,,,,
,,,,,,,,,,,"Chablis Grand Cru Vaudesir","47,824595","3,802471",,,,,,
,,,,,,,,"Chablis Premier Cru","47,815269","3,800451",,,,,,,,,
,,,,,,,,,,,"Chablis Beauroy","47,826237","3,7502",,,,,,
,,,,,,,,,,,,,,"Chablis Cote de Savant","47,824018","3,740201",,,
,,,,,,,,,,,,,,"Chablis Troesmes","47,826237","3,7502",,,
,,,,,,,,,,,"Chablis Berdiot","47,828081","3,824347",,,,,,
,,,,,,,,,,,"Chablis Chaume de Talvat","47,767542","3,749299",,,,,,
,,,,,,,,,,,"Chablis Cote de Jouan","47,77729","3,753204",,,,,,
,,,,,,,,,,,"Chablis Cote de Lechet","47,816725","3,767224",,,,,,
,,,,,,,,,,,"Chablis Cote de Vaubarousse","47,827851","3,824186",,,,,,
,,,,,,,,,,,"Chablis Fourchaume","47,836436","3,783417",,,,,,
,,,,,,,,,,,,,,"Chablis Cote de Fontenay","47,834707","3,794746",,,
,,,,,,,,,,,,,,"Chablis L'Homme Mort","47,850952","3,776207",,,
,,,,,,,,,,,,,,"Chablis Vaulorent","47,827678","3,796806",,,
,,,,,,,,,,,,,,"Chablis Vaupulent","47,834823","3,78994",,,
,,,,,,,,,,,"Chablis Les Beauregards","47,769157","3,752217",,,,,,
,,,,,,,,,,,,,,"Chablis Cote de Cuissy","47,769157","3,752217",,,
,,,,,,,,,,,"Chablis Les Fourneaux","47,817535","3,857574",,,,,,
,,,,,,,,,,,,,,"Chablis Cote des Pres Girots","47,817881","3,859291",,,
,,,,,,,,,,,,,,"Chablis Morein","47,820935","3,851824",,,
,,,,,,,,,,,"Chablis Mont de Milieu","47,81131","3,831654",,,,,,
,,,,,,,,,,,"Chablis Montee de Tonnerre","47,814768","3,819466",,,,,,
,,,,,,,,,,,,,,"Chablis Chapelot","47,812002","3,818951",,,
,,,,,,,,,,,,,,"Chablis Cote de Brechain","47,820647","3,822727",,,
,,,,,,,,,,,,,,"Chablis Pied d'Aloup","47,816209","3,823328",,,
,,,,,,,,,,,"Chablis Montmains","47,792804","3,777065",,,,,,
,,,,,,,,,,,,,,"Chablis Butteaux","47,79044","3,767624",,,
,,,,,,,,,,,,,,"Chablis Forets","47,791477","3,774662",,,
,,,,,,,,,,,"Chablis Vaillons","47,800703","3,7714",,,,,,
,,,,,,,,,,,,,,"Chablis Beugnons","47,797417","3,764706",,,
,,,,,,,,,,,,,,"Chablis Chatains","47,798108","3,768482",,,
,,,,,,,,,,,,,,"Chablis Les Epinottes","47,805027","3,780069",,,
,,,,,,,,,,,,,,"Chablis Les Lys","47,807102","3,773847",,,
,,,,,,,,,,,,,,"Chablis Melinots","47,795658","3,763676",,,
,,,,,,,,,,,,,,"Chablis Roncieres","47,796782","3,770285",,,
,,,,,,,,,,,,,,"Chablis Sechet","47,80543","3,775992",,,
,,,,,,,,,,,"Chablis Vau Ligneau","47,806756","3,729172",,,,,,
,,,,,,,,,,,"Chablis Vau de Vey","47,814192","3,744793",,,,,,
,,,,,,,,,,,,,,"Chablis Vau Ragons","47,808889","3,740845",,,
,,,,,,,,,,,"Chablis Vaucoupin","47,800202","3,845039",,,,,,
,,,,,,,,,,,"Chablis Vosgros","47,791477","3,815002",,,,,,
,,,,,,,,,,,,,,"Chablis Vaugiraut","47,79635","3,810368",,,
,,,,,,,,"Petit Chablis","47,816959","3,800926",,,,,,,,,
,,,,,"Cote Chalonnaise","46,796299","4,855957",,,,,,,,,,,,
,,,,,,,,"Bouzeron","46,890854","4,727533",,,,,,,,,
,,,,,,,,"Givry","46,78307","4,742663",,,,,,,,,
,,,,,,,,,,,"Givry Premier Cru","46,788307","4,74472",,,,,,
,,,,,,,,,,,,,,"Givry A Vigne Rouge","46,783429","4,743176",,,
,,,,,,,,,,,,,,"Givry Cellier aux Moines","46,789512","4,73927",,,
,,,,,,,,,,,,,,"Givry Clos Charle","46,786955","4,744205",,,
,,,,,,,,,,,,,,"Givry Clos Jus","46,793523","4,747961",,,
,,,,,,,,,,,,,,"Givry Clos Marceaux","46,774054","4,725773",,,
,,,,,,,,,,,,,,"Givry Clos Marole","46,786926","4,736352",,,
,,,,,,,,,,,,,,"Givry Clos Salomon","46,781284","4,731116",,,
,,,,,,,,,,,,,,"Givry Clos de la Baraude","46,778845","4,727554",,,
,,,,,,,,,,,,,,"Givry Clos du Cras Long","46,769145","4,717469",,,
,,,,,,,,,,,,,,"Givry Clos du Vernoy","46,773055","4,72249",,,
,,,,,,,,,,,,,,"Givry Clos-Saint-Paul","46,782988","4,733648",,,
,,,,,,,,,,,,,,"Givry Clos-Saint-Pierre","46,783547","4,731073",,,
,,,,,,,,,,,,,,"Givry Crauzot","46,783429","4,743176",,,
,,,,,,,,,,,,,,"Givry Cremillons","46,783429","4,743176",,,
,,,,,,,,,,,,,,"Givry En Choue","46,783429","4,743176",,,
,,,,,,,,,,,,,,"Givry La Grande Berge","46,771776","4,721525",,,
,,,,,,,,,,,,,,"Givry La Plante","46,783429","4,743176",,,
,,,,,,,,,,,,,,"Givry Le Paradis","46,7762","4,728327",,,
,,,,,,,,,,,,,,"Givry Le Petit Pretan","46,780799","4,735944",,,
,,,,,,,,,,,,,,"Givry Le Vigron","46,783429","4,743176",,,
,,,,,,,,,,,,,,"Givry Les Berges","46,783429","4,743176",,,
,,,,,,,,,,,,,,"Givry Les Bois Chevaux","46,785134","4,735193",,,
,,,,,,,,,,,,,,"Givry Les Bois Gautiers","46,783429","4,743176",,,
,,,,,,,,,,,,,,"Givry Les Grandes Vignes","46,776288","4,726739",,,
,,,,,,,,,,,,,,"Givry Les Grands Pretans","46,780608","4,733219",,,
,,,,,,,,,,,,,,"Givry Petit Marole","46,787749","4,737253",,,
,,,,,,,,,,,,,,"Givry Servoisine","46,78816","4,742146",,,
,,,,,,,,,,,,,,"Givry Vaux","46,783429","4,743176",,,
,,,,,,,,"Mercurey","46,833678","4,721637",,,,,,,,,
,,,,,,,,,,,"Mercurey Premier Cru","46,834479","4,721031",,,,,,
,,,,,,,,,,,,,,"Mercurey Champs Martin","46,84217","4,722061",,,
,,,,,,,,,,,,,,"Mercurey Clos Chateau de Montaigu","46,826082","4,714079",,,
,,,,,,,,,,,,,,"Mercurey Clos Marcilly","46,833128","4,736481",,,
,,,,,,,,,,,,,,"Mercurey Clos Tonnere","46,837884","4,720559",,,
,,,,,,,,,,,,,,"Mercurey Clos Voyens","46,838442","4,729443",,,
,,,,,,,,,,,,,,"Mercurey Clos de Paradis","46,817654","4,712577",,,
,,,,,,,,,,,,,,"Mercurey Clos des Barraults","46,840879","4,723177",,,
,,,,,,,,,,,,,,"Mercurey Clos des Grands Voyens","46,836813","4,729614",,,
,,,,,,,,,,,,,,"Mercurey Clos des Myglands","46,842464","4,737682",,,
,,,,,,,,,,,,,,"Mercurey Clos l'Eveque","46,839749","4,733605",,,
,,,,,,,,,,,,,,"Mercurey Grand Clos Fortoul","46,835976","4,732747",,,
,,,,,,,,,,,,,,"Mercurey Grifferes","46,824261","4,736481",,,
,,,,,,,,,,,,,,"Mercurey La Bondue","46,834127","4,71365",,,
,,,,,,,,,,,,,,"Mercurey La Cailloute","46,845252","4,719229",,,
,,,,,,,,,,,,,,"Mercurey La Chassiere","46,81827","4,715538",,,
,,,,,,,,,,,,,,"Mercurey La Levriere","46,835991","4,715323",,,
,,,,,,,,,,,,,,"Mercurey La Mission","46,828607","4,722919",,,
,,,,,,,,,,,,,,"Mercurey Le Clos du Roy","46,827785","4,720774",,,
,,,,,,,,,,,,,,"Mercurey Les Byots","46,836769","4,725451",,,
,,,,,,,,,,,,,,"Mercurey Les Combins","46,845135","4,719357",,,
,,,,,,,,,,,,,,"Mercurey Les Crets","46,839","4,726095",,,
,,,,,,,,,,,,,,"Mercurey Les Croichots","46,844313","4,716353",,,
,,,,,,,,,,,,,,"Mercurey Les Fourneaux","46,819401","4,717598",,,
,,,,,,,,,,,,,,"Mercurey Les Montaigus","46,820855","4,713478",,,
,,,,,,,,,,,,,,"Mercurey Les Naugues","46,838149","4,725151",,,
,,,,,,,,,,,,,,"Mercurey Les Puillets","46,843873","4,708843",,,
,,,,,,,,,,,,,,"Mercurey Les Ruelles","46,819709","4,718885",,,
,,,,,,,,,,,,,,"Mercurey Les Saumonts","46,846691","4,712105",,,
,,,,,,,,,,,,,,"Mercurey Les Vasees","46,837532","4,723306",,,
,,,,,,,,,,,,,,"Mercurey Les Velley","46,825171","4,716482",,,
,,,,,,,,,,,,,,"Mercurey Sazenay","46,8326","4,710989",,,
,,,,,,,,"Montagny","46,70903","4,678802",,,,,,,,,
,,,,,,,,,,,"Montagny Premier Cru","46,70903","4,678802",,,,,,
,,,,,,,,,,,,,,"Montagny Le Vieux Chateau","46,718549","4,688973",,,
,,,,,,,,,,,,,,"Montagny Les Bassets","46,707588","4,688158",,,
,,,,,,,,,,,,,,"Montagny Les Bonneveaux","46,709765","4,6876",,,
,,,,,,,,,,,,,,"Montagny Les Bouchots","46,709604","4,682536",,,
,,,,,,,,,,,,,,"Montagny Les Burnins","46,706175","4,679618",,,
,,,,,,,,,,,,,,"Montagny Les Chaniots","46,693549","4,684339",,,
,,,,,,,,,,,,,,"Montagny Les Coeres","46,698435","4,684811",,,
,,,,,,,,,,,,,,"Montagny Les Perrieres","46,703762","4,679103",,,
,,,,,,,,,,,,,,"Montagny Les Platieres","46,702173","4,679596",,,
,,,,,,,,,,,,,,"Montagny Les Vignes Derriere","46,695904","4,674511",,,
,,,,,,,,,,,,,,"Montagny Montcuchot","46,705999","4,684639",,,
,,,,,,,,"Rully","46,882723","4,740601",,,,,,,,,
,,,,,,,,,,,"Rully Premier Cru","46,879907","4,740601",,,,,,
,,,,,,,,,,,,,,"Rully Agneux","46,871884","4,728799",,,
,,,,,,,,,,,,,,"Rully Champs Cloux","46,870402","4,737682",,,
,,,,,,,,,,,,,,"Rully Chapitre","46,875888","4,736395",,,
,,,,,,,,,,,,,,"Rully Clos du Chaigne","46,890349","4,744205",,,
,,,,,,,,,,,,,,"Rully Cloux","46,876358","4,732704",,,
,,,,,,,,,,,,,,"Rully Gresigny","46,861189","4,721975",,,
,,,,,,,,,,,,,,"Rully La Bressande","46,869082","4,73721",,,
,,,,,,,,,,,,,,"Rully La Fosse","46,878323","4,737639",,,
,,,,,,,,,,,,,,"Rully La Pucelle","46,866793","4,728885",,,
,,,,,,,,,,,,,,"Rully La Renarde","46,871495","4,739195",,,
,,,,,,,,,,,,,,"Rully Le Meix Cadot","46,865649","4,734528",,,
,,,,,,,,,,,,,,"Rully Le Meix Caillet","46,872294","4,728348",,,
,,,,,,,,,,,,,,"Rully Les Pierres","46,871532","4,729807",,,
,,,,,,,,,,,,,,"Rully Margotes","46,859076","4,719272",,,
,,,,,,,,,,,,,,"Rully Marissou","46,878118","4,739056",,,
,,,,,,,,,,,,,,"Rully Molesme","46,871752","4,732103",,,
,,,,,,,,,,,,,,"Rully Montpalais","46,867996","4,727898",,,
,,,,,,,,,,,,,,"Rully Pillot","46,873659","4,729958",,,
,,,,,,,,,,,,,,"Rully Preaux","46,87404","4,733262",,,
,,,,,,,,,,,,,,"Rully Rabource","46,878734","4,734507",,,
,,,,,,,,,,,,,,"Rully Raclot","46,877091","4,730344",,,
,,,,,,,,,,,,,,"Rully Saint-Jacques","46,894103","4,743948",,,
,,,,,,,,,,,,,,"Rully Vauvry","46,863712","4,725924",,,
,,,,,"Cote de Beaune","47,02603","4,840004",,,,,,,,,,,,
,,,,,,,,"Aloxe-Corton","47,065692","4,85994",,,,,,,,,
,,,,,,,,,,,"Aloxe-Corton Premier Cru","47,065692","4,85994",,,,,,
,,,,,,,,,,,,,,"Aloxe-Corton Clos des Marechaudes","47,072957","4,873273",,,
